"x","y","V","U"
11,8,0,NA
8,30,0,NA
9,48,224.4,NA
8,69,434.4,NA
9,90,412.1,NA
10,110,587.2,NA
9,129,192.3,NA
11,150,31.3,NA
10,170,388.5,NA
8,188,174.6,NA
9,209,187.8,NA
10,231,82.1,NA
11,250,81.1,NA
10,269,124.3,NA
8,288,188,NA
31,11,28.7,NA
29,29,78.1,NA
28,51,292.1,NA
31,68,895.2,NA
28,88,702.6,NA
30,110,490.3,NA
28,130,136.1,NA
28,150,335,NA
30,171,277,NA
28,190,206.1,NA
31,209,24.5,NA
28,229,198.1,NA
30,250,60.3,NA
31,269,312.6,NA
31,289,240.9,NA
49,11,653.3,NA
49,29,96.4,NA
51,48,105,NA
49,68,37.8,NA
50,88,820.8,NA
51,109,450.7,NA
48,129,190.4,NA
49,151,773.3,NA
51,168,971.9,NA
48,190,762.4,NA
50,211,968.3,NA
49,231,394.7,NA
51,250,343,NA
50,268,863.8,NA
51,290,159.6,NA
71,9,445.8,NA
71,29,673.3,NA
70,51,252.6,NA
68,70,537.5,NA
69,90,0,NA
68,110,329.1,NA
68,128,646.3,NA
69,148,616.2,NA
69,169,761.3,NA
70,191,918,NA
69,208,97.4,NA
69,229,0,NA
68,250,0,NA
71,268,0,NA
71,288,2.4,NA
91,11,368.3,NA
91,29,91.6,NA
90,49,654.7,NA
91,68,645.5,NA
91,91,907.2,NA
91,111,826.3,NA
89,130,975.3,NA
88,149,551.1,NA
89,170,155.5,NA
89,188,10.7,NA
90,211,0,NA
90,230,0,NA
88,249,0,NA
88,269,12.1,NA
88,288,62.2,NA
109,11,399.6,NA
111,31,176.6,NA
108,49,402,NA
109,68,260.6,NA
108,88,192,NA
110,109,237.6,NA
109,129,702,NA
110,148,38.5,NA
111,169,22.1,NA
111,191,2.7,NA
110,208,17.9,NA
109,230,174.2,NA
109,249,12.9,NA
109,268,187.8,NA
111,291,268.8,NA
130,9,572.5,NA
131,31,29.1,NA
130,48,75.2,NA
128,70,399.9,NA
129,90,243.1,NA
131,109,0,NA
129,128,244.7,NA
131,148,185.2,NA
131,169,26,NA
129,191,0,NA
128,209,100.3,NA
130,231,530.3,NA
131,248,107.4,NA
128,269,159.3,NA
131,288,70.7,NA
148,8,260.2,NA
149,29,326,NA
150,49,332.7,NA
